,TR,TR_i,EC,EC_i,CNC,CNC_i,BC,BC_i,DC,DC_i,PR,PR_i
1,15,17,15,0.31578107648046766,37,0.4178082191780822,37,0.2482371960289381,15,0.19672131147540983,52,0.025953515752699358
2,46,17,38,0.30056092847049554,41,0.40397350993377484,2,0.21332443553281097,38,0.18032786885245902,18,0.02483665839259177
3,34,15,46,0.2850031047324043,38,0.39869281045751637,41,0.1431495183426175,46,0.18032786885245902,58,0.02280823202940177
4,14,14,34,0.28109701716058694,21,0.391025641025641,38,0.13856978865859435,52,0.1639344262295082,34,0.021331483192373785
5,58,13,51,0.21769051331081501,15,0.3765432098765432,8,0.11823861926938346,34,0.1639344262295082,30,0.021217324325941155
