
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Azerbaijan","AZE","Population, female","SP.POP.TOTL.FE.IN","2032178","2098312","2167450","2237824","2307099","2373551","2436506","2496188","2552921","2607375","2660114","2711183","2760493","2808388","2855319","2901653","2947598","2993374","3039454","3086338","3134440","3183853","3234623","3287050","3341477","3398050","3456742","3517180","3578684","3640336","3658511","3717185","3775018","3833601","3886367","3931828","3972111","4010796","4048629","4082756","4113396","4140707","4165639","4190433","4220361","4257347","4298747","4342781","4430364","4518847","4568408","4623725","4681041","4737682","4793328","4847488","4899330","4949769","",
"Burundi","BDI","Population, female","SP.POP.TOTL.FE.IN","1441218","1467868","1494742","1522743","1553106","1586555","1623950","1664626","1705879","1743994","1776554","1802374","1822912","1841533","1863068","1891010","1926514","1968646","2016308","2067591","2121047","2176241","2233573","2293322","2355986","2421741","2490522","2561527","2633296","2703911","2771894","2837684","2901445","2961303","3014894","3061169","3098845","3130153","3161807","3202902","3260004","3335467","3427608","3533912","3650063","3772658","3901624","4037430","4177791","4319930","4461964","4602491","4742063","4883199","5029633","5183997","5347055","5517706","",
"Belgium","BEL","Population, female","SP.POP.TOTL.FE.IN","4649965","4666854","4687136","4724146","4770961","4816344","4850759","4879547","4900485","4916162","4922923","4933960","4955462","4973208","4990837","5006958","5017268","5024527","5029994","5035067","5040981","5041036","5039669","5039089","5038622","5039540","5040539","5043872","5058896","5076328","5090672","5108986","5129278","5149004","5164627","5175217","5185158","5197588","5208451","5219839","5231510","5248012","5269639","5289562","5310399","5337874","5371630","5409812","5451562","5494806","5544815","5622454","5664069","5691953","5703575","5732314","5753877","5764420","",
"Benin","BEN","Population, female","SP.POP.TOTL.FE.IN","1274969","1291362","1309214","1328599","1349638","1372416","1396974","1423291","1451276","1480816","1511843","1544340","1578387","1614133","1651784","1691501","1733376","1777412","1823575","1871771","1921979","1974304","2028876","2085679","2144677","2205924","2269185","2334650","2403313","2476472","2554953","2639318","2728984","2822261","2916763","3010797","3103694","3196072","3289032","3384290","3483091","3585781","3691950","3801241","3913011","4026822","4142662","4260766","4381295","4504444","4630423","4759210","4890851","5025628","5163869","5305825","5451617","5601136","",
"Burkina Faso","BFA","Population, female","SP.POP.TOTL.FE.IN","2371306","2409904","2448949","2488945","2530584","2574390","2620626","2669178","2719731","2771769","2824976","2879396","2935315","2993063","3053067","3115698","3180996","3249131","3320782","3396788","3477735","3563969","3655300","3751071","3850303","3952259","4056835","4164253","4274657","4388277","4505344","4625885","4750009","4878022","5010314","5147238","5289059","5435864","5587702","5744499","5906284","6073089","6245194","6423208","6607935","6799929","6999447","7206339","7420315","7640864","7867595","8100460","8339503","8584545","8835378","9091848","9353871","9621448","",
"Bangladesh","BGD","Population, female","SP.POP.TOTL.FE.IN","23287874","23986374","24709132","25464947","26266327","27118761","28034096","29000566","29972140","30886672","31703380","32400138","32999907","33562423","34172814","34892255","35742302","36704185","37749692","38833385","39922137","41007178","42099730","43209733","44353698","45542070","46777600","48050860","49345664","50639909","51917681","53171064","54403885","55626342","56854444","58099021","59360649","60632303","61907874","63178563","64436550","65682263","66913544","68117056","69276082","70379646","71421204","72406278","73351150","74279294","75208034","76143513","77081980","78018941","78946134","79857914","80752655","81633979","",
"Bulgaria","BGR","Population, female","SP.POP.TOTL.FE.IN","3939341","3976379","4010362","4042009","4074247","4103461","4129902","4155696","4185322","4217762","4245836","4269871","4290657","4314146","4344337","4366777","4387279","4411824","4418709","4426986","4447595","4465637","4482474","4497675","4512565","4517172","4520949","4532866","4543468","4496247","4421546","4383735","4342735","4313997","4304922","4290953","4273554","4251780","4227125","4206603","4188492","4108035","4021416","3990804","3961458","3931994","3902061","3872927","3845167","3819980","3794830","3770998","3750088","3730296","3710287","3687600","3662467","3636267","",
"Bahrain","BHR","Population, female","SP.POP.TOTL.FE.IN","75466","77578","79459","81198","82970","84896","87039","89374","91921","94689","97683","100888","104346","108173","112539","117538","123233","129531","136218","142963","149533","155841","161921","167852","173753","179716","185777","191914","198032","204000","209761","215312","220764","226331","232273","238802","246055","254072","262924","272674","283388","294859","307146","320830","336655","355021","376373","400183","424676","447439","466811","481963","493539","503131","513091","525098","539717","556300","",
"Bahamas, The","BHS","Population, female","SP.POP.TOTL.FE.IN","57143","59779","62617","65590","68603","71602","74545","77436","80234","82921","85467","87854","90098","92220","94260","96241","98173","100059","101968","103952","106079","108375","110825","113353","115851","118238","120494","122640","124737","126894","129174","131613","134184","136800","139340","141744","143961","146035","148098","150311","152793","155593","158644","161894","165215","168536","171826","175097","178302","181428","184443","187323","190065","192673","195145","197489","199696","201775","",
"Bosnia and Herzegovina","BIH","Population, female","SP.POP.TOTL.FE.IN","1643268","1673314","1704115","1734924","1764750","1792886","1818986","1843261","1866268","1888849","1911607","1934797","1958175","1981263","2003341","2023933","2042651","2059797","2076353","2093723","2112781","2133181","2154148","2175433","2196685","2217184","2238426","2259344","2273721","2273299","2252932","2209416","2146508","2074591","2008179","1957760","1926961","1912781","1910894","1914133","1917111","1918932","1920951","1922605","1923624","1923738","1922688","1919969","1914801","1906311","1894075","1877446","1857062","1835367","1815708","1800461","1790588","1785307","",
