
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Benin","BEN","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28999999165535","","","","","","2.45000004768372","","","","","","","","","","1.07000005245209","","","","","","","","1.52999997138977","5.21229982376099","","","","","","","",
"Burkina Faso","BFA","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.29390001296997","","","","",
"Bangladesh","BGD","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75","","","2.76999998092651","","","","","","","7.98999977111816","","","","11.0500001907349","","","6.98999977111816","","8","6.12109994888306","","","","5.94899988174438","","","10.0796003341675","","","10.1099996566772","10.7807998657227","",
"Bulgaria","BGR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0970993041992","","38.9598999023438","29.4207992553711","24.9916000366211","23.3521003723145","18.8906002044678","14.4701995849609","13.7206001281738","17.7719993591309","23.2119007110596","26.0030002593994","29.5189990997314","30.2003002166748","23.7975006103516","21.2437992095947","17.4258995056152","13.2503004074097","",
"Bahrain","BHR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47000002861023","","2.60999989509583","","","","","","",
"Bahamas, The","BHS","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2200002670288","21.2099990844727","23.7999992370605","20.4599990844727","21.9500007629395","18.4699993133545","18.5799999237061","16.5499992370605","10.25","10.6099996566772","","14.0500001907349","","20.2900009155273","","16.9200000762939","","16.6700000762939","14.5799999237061","22.8500003814697","","25.3799991607666","29.6100006103516","","","","20.8268737792969","","",
"Bosnia and Herzegovina","BIH","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.185001373291","55.6029014587402","44.7929000854492","46.4384994506836","55.4768981933594","56.4360008239746","62.6352996826172","","60.9847984313965","59.5200004577637","52.0499992370605","43.1100006103516","",
"Belarus","BLR","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6499996185303","11.2399997711182","",
"Belize","BLZ","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0900001525879","","","","","","","","","","","","","","","","","","17.9699993133545","11.5995998382568","11.997200012207","11.2159004211426","11.039999961853","9.53240013122559","",
"Bermuda","BMU","Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","SL.UEM.1524.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6599998474121","","","","","","","","","25.7199993133545","17.6299991607666","","","","29.7399997711182","","","","",
