
"CountryName","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Azerbaijan","AZE","Population, male","SP.POP.TOTL.MA.IN","1863218","1932008","2003975","2077304","2149590","2219059","2285019","2347682","2407314","2464555","2519911","2573349","2624774","2674696","2723758","2772484","2821126","2869760","2918475","2967307","3016298","3065467","3114935","3165026","3216108","3268405","3321891","3376320","3431352","3486555","3500489","3553815","3606982","3661399","3710633","3753172","3790889","3827454","3864371","3899994","3935204","3970493","4006311","4043667","4086139","4134503","4185803","4238519","4333036","4428396","4485924","4549357","4614743","4679119","4741751","4801853","4858482","4912660","",
"Burundi","BDI","Population, male","SP.POP.TOTL.MA.IN","1344888","1371798","1398927","1427183","1457753","1491321","1528773","1569397","1610354","1647759","1679052","1703017","1721135","1736957","1755517","1780484","1813145","1852548","1897460","1945719","1995770","2046954","2099813","2155406","2215306","2280325","2351043","2426209","2502660","2576113","2643521","2704364","2759694","2810095","2856713","2900889","2942267","2981944","3024545","3076038","3140702","3220362","3313961","3419201","3532388","3650631","3773714","3902143","4034473","4169101","4304966","4441017","4577647","4716987","4862157","5015273","5177062","5346539","",
"Belgium","BEL","Population, male","SP.POP.TOTL.MA.IN","4503524","4517094","4533442","4565624","4607152","4647323","4677048","4701444","4718271","4729870","4732626","4739202","4755653","4768512","4781582","4793742","4800959","4805831","4809540","4813315","4818261","4817946","4816634","4816431","4816750","4818768","4821284","4826362","4842768","4861369","4876707","4895500","4915880","4935471","4950976","4961594","4971479","4983657","4994557","5006580","5019740","5038558","5063146","5086571","5110738","5140743","5176328","5215888","5258411","5301687","5350771","5425290","5464177","5490864","5505482","5541882","5577545","5607648","",
"Benin","BEN","Population, male","SP.POP.TOTL.MA.IN","1156653","1174505","1193682","1214260","1236327","1259940","1285185","1312016","1340314","1369845","1400497","1432232","1465180","1499542","1535628","1573664","1613797","1656027","1700363","1746755","1795186","1845824","1898838","1954270","2012142","2072577","2135321","2200613","2269539","2343544","2423543","2510181","2602819","2699502","2797457","2894761","2990565","3085567","3181233","3279808","3382860","3490952","3603444","3719314","3836993","3955403","4074234","4194025","4315621","4440262","4568836","4701592","4838309","4978823","5122843","5270127","5420681","5574556","",
"Burkina Faso","BFA","Population, male","SP.POP.TOTL.MA.IN","2457982","2484676","2511377","2538876","2568306","2600480","2635737","2673841","2714310","2756405","2799624","2843985","2889858","2937420","2986974","3038847","3093041","3149804","3210037","3274868","3345108","3421191","3502955","3589834","3680939","3775648","3873859","3975820","4081648","4191546","4305690","4424199","4547104","4674454","4806274","4942640","5083686","5229682","5381022","5538202","5701658","5871498","6047906","6231413","6422634","6622001","6829730","7045682","7269411","7500235","7737622","7981444","8231713","8488178","8750599","9018776","9292562","9571934","",
"Bangladesh","BGD","Population, male","SP.POP.TOTL.MA.IN","24911873","25606428","26321005","27067470","27862773","28715277","29638894","30620103","31607333","32530722","33344390","34024606","34597563","35128762","35711606","36413668","37256834","38221711","39284154","40403391","41548723","42714090","43907601","45128509","46378664","47657795","48964831","50292949","51629657","52959323","54270961","55556368","56818053","58068797","59327823","60607850","61908996","63222337","64540091","65851128","67144693","68424897","69687123","70901945","72031407","73051455","73946800","74732913","75454664","76175414","76941068","77768403","78645073","79552351","80459145","81342972","82198905","83035772","",
"Bulgaria","BGR","Population, male","SP.POP.TOTL.MA.IN","3928033","3966739","4002584","4036136","4070093","4100707","4128155","4154530","4184281","4216410","4243738","4266524","4285543","4306821","4334408","4353965","4371320","4392359","4395323","4398954","4413940","4425480","4434983","4442063","4448114","4443375","4437222","4438493","4437978","4380725","4296743","4248632","4197429","4158316","4138669","4115114","4089272","4060288","4029661","4004021","3981680","3901107","3815745","3784523","3755402","3726978","3698961","3672411","3647394","3624463","3600769","3577330","3555800","3534819","3513651","3490391","3465355","3439724","",
"Bahrain","BHR","Population, male","SP.POP.TOTL.MA.IN","86961","90316","93685","96942","99917","102535","104741","106689","108732","111354","114922","119424","124809","131354","139372","149005","160519","173644","187255","199835","210355","218279","224029","228602","233474","239714","247705","257059","267170","277090","286170","294453","302323","309882","317315","324897","332613","340858","350778","363871","381226","402690","428002","457881","493193","534147","582041","635708","689914","737590","774051","796306","806678","812280","823306","846757","885454","936284","",
"Bahamas, The","BHS","Population, male","SP.POP.TOTL.MA.IN","52385","55329","58466","61743","65095","68452","71821","75173","78393","81327","83887","86009","87741","89268","90839","92641","94729","97052","99545","102080","104582","107021","109450","111834","114164","116449","118637","120753","122842","124955","127162","129503","131950","134365","136555","138406","139829","140935","141962","143261","145097","147542","150513","153852","157311","160713","164004","167231","170374","173428","176389","179245","181974","184567","187024","189349","191536","193586","",
"Bosnia and Herzegovina","BIH","Population, male","SP.POP.TOTL.MA.IN","1582400","1615288","1649111","1682650","1714245","1742754","1767648","1789408","1809184","1828617","1848920","1870488","1892976","1915992","1938882","1961170","1982614","2003394","2023997","2045096","2067074","2089330","2111162","2132673","2154061","2174946","2197078","2219175","2234335","2233354","2210490","2162187","2092646","2013408","1940637","1885952","1853417","1839650","1839591","1844985","1849595","1852352","1854856","1856642","1857663","1857792","1856780","1854031","1848798","1840250","1828009","1811419","1791138","1769632","1750294","1735500","1726228","1721710","",
