,NDR,Density
1,18,0.061588861588861586
2,3,0.06420966420966423
3,52,0.06502866502866503
4,44,0.06502866502866503
5,105,0.06617526617526617
6,10,0.06683046683046683
7,25,0.06715806715806716
8,28,0.06715806715806716
9,51,0.06715806715806716
10,2,0.06732186732186733
11,19,0.06732186732186733
12,26,0.06732186732186733
13,29,0.06748566748566749
14,55,0.06748566748566749
15,60,0.06748566748566749
16,80,0.06748566748566749
17,15,0.06764946764946765
18,32,0.06764946764946765
19,16,0.06764946764946765
20,71,0.06764946764946765
21,69,0.06764946764946765
22,77,0.06764946764946765
23,27,0.06781326781326781
24,8,0.06781326781326781
25,103,0.06797706797706797
26,22,0.06797706797706797
27,33,0.06797706797706797
28,38,0.06797706797706797
29,76,0.06797706797706797
30,88,0.06797706797706797
31,13,0.06797706797706797
32,49,0.06797706797706797
33,4,0.06814086814086814
34,20,0.06814086814086814
35,39,0.06814086814086814
36,104,0.06814086814086814
37,42,0.0683046683046683
38,24,0.0683046683046683
39,81,0.0683046683046683
40,12,0.06846846846846846
41,35,0.06846846846846846
42,37,0.06846846846846846
43,43,0.06846846846846846
44,67,0.06846846846846846
45,74,0.06846846846846846
46,106,0.06846846846846846
47,6,0.06846846846846846
48,90,0.06846846846846846
49,53,0.06846846846846846
50,45,0.06846846846846846
51,73,0.06846846846846846
52,46,0.06863226863226864
53,7,0.06863226863226864
54,107,0.06863226863226864
55,89,0.06863226863226864
56,14,0.06863226863226864
57,72,0.06863226863226864
58,36,0.06863226863226864
59,66,0.06863226863226864
60,85,0.06863226863226864
61,54,0.06863226863226864
62,31,0.06863226863226864
63,93,0.06863226863226864
64,82,0.06863226863226864
65,23,0.0687960687960688
66,84,0.0687960687960688
67,99,0.0687960687960688
68,40,0.0687960687960688
69,61,0.0687960687960688
70,64,0.0687960687960688
71,30,0.0687960687960688
72,21,0.0687960687960688
73,48,0.0687960687960688
74,50,0.0687960687960688
75,34,0.0687960687960688
76,11,0.06895986895986896
77,41,0.06895986895986896
78,68,0.06895986895986896
79,109,0.06895986895986896
80,57,0.06895986895986896
81,1,0.06912366912366913
82,47,0.06912366912366913
83,56,0.06912366912366913
84,17,0.06912366912366913
85,78,0.06912366912366913
86,95,0.06912366912366913
87,97,0.06912366912366913
88,101,0.06912366912366913
89,58,0.06912366912366913
90,79,0.06912366912366913
91,94,0.06928746928746929
92,86,0.06928746928746929
93,5,0.06928746928746929
94,62,0.06928746928746929
95,63,0.06928746928746929
96,70,0.06928746928746929
97,87,0.06928746928746929
98,59,0.06928746928746929
99,108,0.06928746928746929
100,100,0.06928746928746929
101,102,0.06928746928746929
102,111,0.06928746928746929
103,92,0.06945126945126945
104,98,0.06945126945126945
105,112,0.06945126945126945
106,9,0.06945126945126945
107,83,0.06945126945126945
108,75,0.06945126945126945
109,91,0.06945126945126945
110,65,0.06945126945126945
111,110,0.06945126945126945
112,96,0.06945126945126945
