,TR,BC,CNC,DC,EC,PR,TC
TR,1,0.022222222,0.155555556,0.688888889,0.866666667,0.244444444,0.866666667
BC,0.022222222,1,0.244444444,0.066666667,0.155555556,0.244444444,0.155555556
CNC,0.155555556,0.244444444,1,0.022222222,0.288888889,0.288888889,0.111111111
DC,0.688888889,0.066666667,0.022222222,1,0.644444444,0.111111111,0.644444444
EC,0.866666667,0.155555556,0.288888889,0.644444444,1,0.288888889,0.733333333
PR,0.244444444,0.244444444,0.288888889,0.111111111,0.288888889,1,0.2
TC,0.866666667,0.155555556,0.111111111,0.644444444,0.733333333,0.2,1
