,TR,BC,CNC,DC,EC,PR,TC
TR,1.0,0.06666666666666667,0.37777777777777777,-0.06666666666666667,0.15555555555555553,0.06666666666666667,-0.06666666666666667
BC,0.06666666666666667,1.0,-0.022222222222222223,-0.19999999999999998,0.28888888888888886,-0.06666666666666667,0.06666666666666667
CNC,0.37777777777777777,-0.022222222222222223,1.0,-0.15555555555555553,0.06666666666666667,0.5111111111111111,0.19999999999999998
DC,-0.06666666666666667,-0.19999999999999998,-0.15555555555555553,1.0,-0.37777777777777777,-0.022222222222222223,-0.15555555555555553
EC,0.15555555555555553,0.28888888888888886,0.06666666666666667,-0.37777777777777777,1.0,-0.06666666666666667,0.3333333333333333
PR,0.06666666666666667,-0.06666666666666667,0.5111111111111111,-0.022222222222222223,-0.06666666666666667,1.0,0.15555555555555553
TC,-0.06666666666666667,0.06666666666666667,0.19999999999999998,-0.15555555555555553,0.3333333333333333,0.15555555555555553,1.0
