,nodes,Density
1,1,0.015280135823429542
2,2,0.015280135823429542
3,3,0.015182186234817813
4,4,0.015280135823429542
5,5,0.015280135823429542
6,6,0.015280135823429542
7,7,0.015280135823429542
8,8,0.015280135823429542
9,9,0.015280135823429542
10,10,0.015280135823429542
11,11,0.015280135823429542
12,12,0.015280135823429542
13,13,0.015084236646206086
14,14,0.015182186234817813
15,15,0.015018936920464934
16,16,0.015018936920464934
17,17,0.015280135823429542
18,18,0.015280135823429542
19,19,0.015280135823429542
20,20,0.015182186234817813
21,21,0.015280135823429542
22,22,0.015116886509076662
23,23,0.015280135823429542
24,24,0.015182186234817813
25,25,0.015084236646206086
26,26,0.014986287057594357
27,27,0.015280135823429542
28,28,0.015280135823429542
29,29,0.015280135823429542
30,30,0.015280135823429542
31,31,0.015280135823429542
32,32,0.015182186234817813
33,33,0.015280135823429542
34,34,0.015182186234817813
35,35,0.015280135823429542
36,36,0.015280135823429542
37,37,0.015280135823429542
38,38,0.015280135823429542
39,39,0.015280135823429542
40,40,0.015116886509076662
41,41,0.015280135823429542
42,42,0.015280135823429542
43,43,0.015280135823429542
44,44,0.015280135823429542
45,45,0.015280135823429542
46,46,0.015280135823429542
47,47,0.015280135823429542
48,48,0.015280135823429542
49,49,0.015280135823429542
50,50,0.014986287057594357
51,51,0.015280135823429542
52,52,0.015182186234817813
53,53,0.015280135823429542
54,54,0.015280135823429542
55,55,0.015182186234817813
56,56,0.015182186234817813
57,57,0.015182186234817813
58,58,0.015280135823429542
59,59,0.015280135823429542
60,60,0.015182186234817813
61,61,0.015280135823429542
62,62,0.01505158678333551
63,63,0.015280135823429542
64,64,0.015280135823429542
65,65,0.015280135823429542
66,66,0.015280135823429542
67,67,0.015280135823429542
68,68,0.015280135823429542
69,69,0.015280135823429542
70,70,0.015084236646206086
71,71,0.015280135823429542
72,72,0.015182186234817813
73,73,0.015182186234817813
74,74,0.015182186234817813
75,75,0.015182186234817813
76,76,0.015280135823429542
77,77,0.015182186234817813
78,78,0.015280135823429542
79,79,0.015280135823429542
80,80,0.015280135823429542
81,81,0.015280135823429542
82,82,0.015280135823429542
83,83,0.015280135823429542
84,84,0.015280135823429542
85,85,0.015280135823429542
86,86,0.015280135823429542
87,87,0.015280135823429542
88,88,0.015280135823429542
89,89,0.015280135823429542
90,90,0.015280135823429542
91,91,0.015280135823429542
92,92,0.015280135823429542
93,93,0.015280135823429542
94,94,0.015280135823429542
95,95,0.015280135823429542
96,96,0.015280135823429542
97,97,0.015182186234817813
98,98,0.015280135823429542
99,99,0.015280135823429542
100,100,0.015084236646206086
101,101,0.015280135823429542
102,102,0.015280135823429542
103,103,0.015182186234817813
104,104,0.014986287057594357
105,105,0.015280135823429542
106,106,0.015018936920464934
107,107,0.015182186234817813
108,108,0.015280135823429542
109,109,0.015280135823429542
110,110,0.015280135823429542
111,111,0.015280135823429542
112,112,0.015280135823429542
113,113,0.015182186234817813
114,114,0.015280135823429542
115,115,0.015182186234817813
116,116,0.015182186234817813
117,117,0.015280135823429542
118,118,0.015280135823429542
119,119,0.015280135823429542
120,120,0.015182186234817813
121,121,0.015280135823429542
122,122,0.015280135823429542
123,123,0.015182186234817813
124,124,0.015084236646206086
125,125,0.015280135823429542
126,126,0.015182186234817813
127,127,0.015280135823429542
128,128,0.015280135823429542
129,129,0.015280135823429542
130,130,0.015280135823429542
131,131,0.015280135823429542
132,132,0.015280135823429542
133,133,0.015280135823429542
134,134,0.015280135823429542
135,135,0.015280135823429542
136,136,0.015182186234817813
137,137,0.015182186234817813
138,138,0.015280135823429542
139,139,0.014953637194723783
140,140,0.015280135823429542
141,141,0.015280135823429542
142,142,0.015182186234817813
143,143,0.015280135823429542
144,144,0.015280135823429542
145,145,0.015280135823429542
146,146,0.015182186234817813
147,147,0.015280135823429542
148,148,0.015280135823429542
149,149,0.015280135823429542
150,150,0.015280135823429542
151,151,0.015182186234817813
152,152,0.015280135823429542
153,153,0.015018936920464934
154,154,0.015280135823429542
155,155,0.015280135823429542
156,156,0.015280135823429542
157,157,0.015280135823429542
158,158,0.015280135823429542
159,159,0.015280135823429542
160,160,0.015280135823429542
161,161,0.015280135823429542
162,162,0.015280135823429542
163,163,0.015280135823429542
164,164,0.015280135823429542
165,165,0.015280135823429542
166,166,0.015280135823429542
167,167,0.015182186234817813
168,168,0.015280135823429542
169,169,0.015280135823429542
170,170,0.015280135823429542
171,171,0.015280135823429542
172,172,0.015280135823429542
173,173,0.015280135823429542
174,174,0.015280135823429542
175,175,0.015116886509076662
176,176,0.015280135823429542
177,177,0.015280135823429542
178,178,0.015280135823429542
179,179,0.014986287057594357
180,180,0.015280135823429542
181,181,0.015116886509076662
182,182,0.015182186234817813
183,183,0.015280135823429542
184,184,0.015182186234817813
185,185,0.015280135823429542
186,186,0.014757738017500327
187,187,0.015280135823429542
188,188,0.015116886509076662
189,189,0.015182186234817813
190,190,0.015280135823429542
191,191,0.014953637194723783
192,192,0.015182186234817813
193,193,0.015116886509076662
194,194,0.015182186234817813
195,195,0.015280135823429542
196,196,0.015182186234817813
197,197,0.015280135823429542
198,198,0.015280135823429542
199,199,0.015280135823429542
200,200,0.015280135823429542
201,201,0.015182186234817813
202,202,0.014953637194723783
203,203,0.015280135823429542
204,204,0.015280135823429542
205,205,0.015280135823429542
206,206,0.015280135823429542
207,207,0.015182186234817813
208,208,0.015280135823429542
209,209,0.015280135823429542
210,210,0.015280135823429542
211,211,0.015182186234817813
212,212,0.015280135823429542
213,213,0.015280135823429542
214,214,0.015182186234817813
